Date,Open,High,Low,Close,Adj Close,Volume
2022-04-14,110.209999,110.209999,107.510002,107.959999,106.355644,367100
2022-04-18,107.959999,108.120003,106.430000,106.820000,105.232582,285500
2022-04-19,105.870003,106.589996,105.320000,105.830002,104.257301,290100
2022-04-20,107.150002,109.360001,106.879997,108.860001,107.242271,210100
2022-04-21,108.010002,108.070000,106.099998,107.830002,106.227577,163700
2022-04-22,107.110001,108.809998,106.620003,107.010002,105.419762,348200
2022-04-25,108.410004,109.330002,108.029999,108.269997,106.661034,175600
2022-04-26,109.589996,110.190002,108.769997,109.440002,107.813652,420900
2022-04-27,109.230003,109.279999,107.480003,107.779999,106.178314,253800
2022-04-28,107.019997,107.889999,106.610001,107.790001,106.188171,103300
2022-04-29,106.019997,107.970001,105.680000,105.839996,104.267143,168600
2022-05-02,104.400002,104.849998,103.250000,103.529999,101.991478,226000
2022-05-03,105.769997,105.980003,104.410004,104.570000,103.016014,341700
2022-05-04,104.500000,105.400002,103.779999,104.769997,103.213043,173800
2022-05-05,102.379997,102.500000,99.709999,101.080002,99.577881,357400
2022-05-06,99.519997,100.690002,98.699997,99.070000,97.597755,260200
2022-05-09,97.870003,100.080002,97.639999,99.879997,98.395721,264600
2022-05-10,101.580002,102.820000,100.940002,101.110001,99.607437,343400
2022-05-11,100.169998,103.879997,99.760002,103.730003,102.188499,218100
2022-05-12,104.129997,104.900002,103.500000,103.660004,102.119553,251600
2022-05-13,102.709999,102.879997,101.349998,101.519997,100.011345,168600
2022-05-16,101.580002,102.500000,101.120003,101.190002,99.686249,126600
2022-05-17,99.970001,100.650002,99.510002,99.730003,98.247948,135900
2022-05-18,99.820000,102.650002,99.820000,102.389999,100.868416,157600
2022-05-19,104.470001,104.639999,102.449997,102.910004,101.380692,214000
2022-05-20,102.989998,104.879997,102.760002,104.400002,102.848549,478200
2022-05-23,103.440002,104.000000,102.019997,102.040001,100.523621,153200
2022-05-24,103.639999,105.480003,103.639999,104.529999,102.976616,296400
2022-05-25,105.730003,105.730003,104.480003,105.389999,103.823830,270100
2022-05-26,105.040001,105.050003,103.510002,104.599998,103.045578,148900
2022-05-27,105.150002,105.650002,104.320000,105.000000,103.439629,698400
2022-05-31,102.839996,102.839996,101.199997,101.570000,100.060600,485300
2022-06-01,102.790001,103.150002,101.500000,102.080002,100.563019,257100
2022-06-02,102.529999,102.529999,101.029999,102.019997,100.503906,146300
2022-06-03,100.620003,101.800003,100.320000,101.779999,100.267479,367400
2022-06-06,100.739998,101.129997,99.290001,99.519997,98.041069,278100
2022-06-07,100.230003,101.449997,100.199997,100.639999,99.144424,322100
2022-06-08,100.360001,100.760002,99.599998,99.709999,98.228241,109400
2022-06-09,99.370003,100.239998,99.110001,100.120003,98.632149,200500
2022-06-10,100.150002,100.330002,98.540001,99.570000,98.090324,400700
2022-06-13,97.080002,97.169998,94.599998,95.639999,94.218727,313400
2022-06-14,96.010002,96.459999,93.639999,94.040001,92.642502,186000
2022-06-15,95.300003,96.360001,94.260002,96.070000,94.642334,157800
2022-06-16,93.370003,96.959999,92.830002,96.820000,95.381187,505800
2022-06-17,97.290001,98.360001,96.360001,97.570000,96.120049,144900
2022-06-21,95.110001,96.099998,94.680000,95.190002,93.775421,325700
2022-06-22,97.940002,98.639999,97.599998,98.419998,96.957413,189500
2022-06-23,99.230003,100.669998,98.820000,99.459999,97.981964,236300
2022-06-24,98.870003,99.699997,97.570000,97.650002,96.198853,157100
2022-06-27,96.190002,97.220001,96.000000,96.680000,95.243271,120500
2022-06-28,96.139999,97.290001,95.699997,97.050003,95.607773,147900
2022-06-29,97.220001,99.230003,97.220001,99.160004,97.686424,157300
2022-06-30,100.139999,101.290001,99.889999,100.129997,98.641998,406600
2022-07-01,100.769997,102.529999,99.709999,100.690002,99.898041,725800
2022-07-05,101.760002,102.820000,100.900002,101.480003,100.681831,807400
2022-07-06,102.230003,102.309998,99.220001,99.250000,98.469368,168200
2022-07-07,99.650002,99.699997,97.900002,98.209999,97.437546,229600
2022-07-08,98.000000,98.000000,96.300003,96.879997,96.118004,537100
2022-07-11,98.250000,99.470001,98.160004,99.120003,98.340393,134000
2022-07-12,100.279999,101.050003,99.599998,99.820000,99.034882,306600
2022-07-13,98.379997,101.730003,97.809998,101.519997,100.721512,195800
2022-07-14,100.029999,101.139999,99.279999,100.360001,99.570641,216900
2022-07-15,100.940002,101.889999,100.660004,101.230003,100.433800,111500
2022-07-18,100.139999,100.139999,98.910004,99.620003,98.836464,268600
2022-07-19,99.540001,99.849998,98.199997,99.000000,98.221336,242600
2022-07-20,100.279999,100.349998,98.750000,99.489998,98.707481,252700
2022-07-21,100.089996,101.860001,99.900002,101.410004,100.612381,168500
2022-07-22,103.300003,104.720001,103.010002,103.839996,103.023262,284400
2022-07-25,101.500000,102.440002,101.150002,102.250000,101.445770,116400
2022-07-26,103.930000,104.349998,102.279999,102.449997,101.644196,262000
2022-07-27,102.970001,103.379997,101.169998,101.529999,100.731438,197600
2022-07-28,102.669998,103.610001,101.650002,102.120003,101.316795,210700
2022-07-29,102.239998,104.089996,101.709999,101.800003,100.999313,382300
2022-08-01,102.940002,105.379997,102.839996,105.129997,104.303116,251500
2022-08-02,105.489998,106.110001,102.239998,102.730003,101.921997,196500
2022-08-03,102.169998,104.910004,101.110001,104.910004,104.084854,202000
2022-08-04,104.430000,104.949997,103.690002,104.709999,103.886421,162900
2022-08-05,102.500000,102.500000,100.889999,101.660004,100.860413,632700
2022-08-08,102.849998,103.970001,102.769997,103.790001,102.973663,317400
